Over_Drawn_MEAN,Missed_Payment_Date_MEAN,AMT_DRAWINGS_ATM_CURRENT_MEAN,AMT_BALANCE_MEAN,DAYS_BIRTH,CNT_DRAWINGS_CURRENT_MEAN,DAYS_CREDIT_ENDDATE_MEAN,DAYS_REGISTRATION,DAYS_CREDIT_ENDDATE_MIN,CREDIT_TYPE_Credit_card_MEAN,TARGET,SK_ID_CURR
0.0,0.0,0.0,0.0,-14584.0,0.0,0.0,-615.0,0.0,0.0,0.0,100018
0.0,0.0,0.0,0.0,-8730.0,0.0,5440.0,-3494.0,419.0,0.5,0.0,100019
0.0,0.0,0.0,0.0,-12930.0,0.0,-32.5,-6390.0,-311.0,0.0,0.0,100020
0.0,0.174,0.0,0.0,-9780.0,0.0,0.0,-4144.0,0.0,0.0,0.0,100021
0.0,0.0,0.0,0.0,-17710.0,0.0,940.0,-8750.0,441.0,0.0,0.0,100022
0.0,0.0,0.0,0.0,-11340.0,0.0,-365.0,-1021.0,-2228.0,0.3076,0.0,100023
0.0,0.0,0.0,0.0,-18260.0,0.0,0.0,-298.0,0.0,0.0,0.0,100024
0.0,0.3262,0.0,0.0,-14820.0,0.0,1124.0,-2300.0,1124.0,0.0,0.0,100025
0.0,0.0,0.0,0.0,-11144.0,0.0,899.0,-114.0,217.0,0.0,0.0,100026
0.0,0.0,0.0,0.0,-24830.0,0.0,-278.2,-9010.0,-1649.0,0.0,0.0,100027
0.0,0.0,0.0,0.0,-11290.0,0.0,-336.2,-108.0,-1286.0,0.0,0.0,100029
0.0,0.0,0.0,0.0,-19330.0,0.0,-61.6,-2420.0,-1173.0,0.3333,0.0,100030
0.0,0.0,0.0,0.0,-18720.0,0.0,468.5,-6572.0,-269.0,0.2856,1.0,100031
0.0,0.1428,0.0,0.0,-15950.0,0.0,-525.0,-5784.0,-662.0,0.0,0.0,100032
0.0,0.613,0.0,0.0,-9990.0,0.0,913.0,-4668.0,913.0,1.0,0.0,100033
0.0,0.0,0.0,0.0,-10344.0,0.0,0.0,-4800.0,0.0,0.0,0.0,100034
0.0,0.3215,0.0,0.0,-15280.0,0.0,487.0,-5264.0,-2540.0,0.3333,0.0,100035
0.0,0.0,0.0,0.0,-11144.0,0.0,-462.0,-7850.0,-462.0,0.0,0.0,100036
0.0,0.0,0.0,0.0,-12980.0,0.0,-1696.0,-7124.0,-2608.0,0.125,0.0,100037
0.0,0.0,0.0,0.0,-11700.0,0.0,126.6,-3556.0,-1406.0,0.2222,0.0,100039
0.0,0.257,0.0,0.0,-16000.0,0.0,0.0,-5736.0,0.0,0.0,0.0,100040
0.0,0.4,0.0,0.0,-12160.0,0.0,-969.0,-6264.0,-2678.0,0.0769,0.0,100041
0.0303,0.03897,2045.4546,208572.6,-17200.0,0.3635,-1434.0,-63.0,-2452.0,0.5,0.0,100043
0.0,0.08453,0.0,0.0,-21070.0,0.0,-407.8,-5470.0,-2432.0,0.3635,0.0,100044
0.0,0.1406,0.0,0.0,-23920.0,0.0,-204.6,-9816.0,-337.0,0.0,0.0,100045
0.0,0.0,0.0,0.0,-16130.0,0.0,-247.8,-8240.0,-826.0,0.25,0.0,100046
0.0,0.0,0.0,0.0,-17490.0,0.0,1301.0,-1182.0,-960.0,0.2,1.0,100047
0.0,0.01492,900.0,59810.56,-16980.0,0.258,-66.0,-3148.0,-66.0,0.0,0.0,100048
0.0769,0.087,18000.0,48183.297,-13384.0,1.923,-117.2,-45.0,-1469.0,0.5713,1.0,100049
0.0,0.0,0.0,0.0,-23550.0,0.0,-1470.0,-5744.0,-2304.0,0.0,0.0,100050
0.0,0.0,0.0,0.0,-9820.0,0.0,0.0,-4170.0,0.0,0.0,0.0,100051
0.0,0.0,0.0,0.0,-7976.0,0.0,0.0,-6590.0,0.0,0.0,0.0,100052
0.0,0.0476,0.0,0.0,-20370.0,0.0,-1664.0,-7760.0,-2534.0,0.25,0.0,100053
0.0,0.06384,0.0,0.0,-20130.0,0.0,-943.5,-9200.0,-1115.0,0.0,0.0,100054
0.0,0.0,0.0,0.0,-19730.0,0.0,-77.0,-6224.0,-806.0,0.1428,0.0,100055
0.0,0.2795,0.0,0.0,-18270.0,0.0,0.0,-5504.0,0.0,0.0,0.0,100056
0.0,0.0,0.0,0.0,-12410.0,0.0,7572.0,-1149.0,-709.0,0.75,0.0,100058
0.0,0.0,0.0,0.0,-18620.0,0.0,-154.4,-3904.0,-612.0,0.0,0.0,100059
0.0,0.0,0.0,0.0,-12280.0,0.0,-1034.0,-1824.0,-1337.0,0.0,0.0,100060
0.0,0.0741,0.0,0.0,-10470.0,0.0,-738.0,-2025.0,-738.0,0.0,0.0,100061
0.0,0.0,0.0,0.0,-18610.0,0.0,-294.0,-6936.0,-861.0,0.0,0.0,100062
0.0,0.4348,0.0,0.0,-12950.0,0.0,-148.2,-7056.0,-2446.0,0.5,0.0,100063
0.0,0.24,0.0,0.0,-21620.0,0.0,40.0,-2019.0,-141.0,0.5,0.0,100064
0.0,0.0,0.0,0.0,-18240.0,0.0,-477.0,-4376.0,-1798.0,0.0,0.0,100068
0.0,0.04443,0.0,0.0,-14184.0,0.0,-161.2,-2128.0,-1820.0,0.0,0.0,100069
0.0,0.1053,0.0,0.0,-20540.0,0.0,126.0,-6850.0,-1255.0,0.3333,0.0,100070
0.0,0.0,0.0,0.0,-20130.0,0.0,-1158.0,-6756.0,-1977.0,0.0,0.0,100071
0.0,0.2666,0.0,0.0,-7908.0,0.0,-314.0,-4556.0,-314.0,0.0,0.0,100072
0.0,0.276,0.0,0.0,-22850.0,0.0,-211.5,-1042.0,-1468.0,0.75,0.0,100073
0.125,0.02563,74671.875,163587.05,-12240.0,6.625,237.2,-5250.0,-1463.0,0.25,0.0,100075
0.0,0.0,0.0,0.0,-13864.0,0.0,769.5,-5450.0,627.0,0.3333,0.0,100076
0.0,0.25,0.0,0.0,-12050.0,0.0,-884.5,-6104.0,-1002.0,0.5,0.0,100077
0.0,0.119,0.0,0.0,-19550.0,0.0,504.0,-6836.0,489.0,0.3333,0.0,100078
0.0,0.0,0.0,0.0,-15360.0,0.0,-371.0,-5076.0,-371.0,0.0,0.0,100079
0.0,0.0952,0.0,0.0,-11950.0,0.0,-1651.0,-8120.0,-1651.0,0.0,0.0,100080
0.0,0.1,0.0,0.0,-10850.0,0.0,0.0,-4810.0,0.0,0.0,0.0,100081
0.0,0.0496,3465.5173,16901.607,-12010.0,0.0909,2358.0,-1377.0,-1469.0,0.4707,0.0,100082
0.0,0.02856,0.0,0.0,-15410.0,0.0,414.5,-341.0,-503.0,0.0,0.0,100083
0.0,0.2593,0.0,0.0,-14860.0,0.0,-1788.0,-23.0,-1788.0,0.0,0.0,100084
0.0,0.0,0.0,0.0,-11180.0,0.0,-420.5,-3252.0,-1296.0,0.0,0.0,100085
0.0714,0.2174,1388.8889,42137.63,-14264.0,0.0595,-92.8,-4330.0,-1182.0,0.1666,0.0,100086
0.0,0.05127,0.0,0.0,-17540.0,0.0,39.2,-1529.0,-277.0,0.3333,0.0,100087
0.0,0.0,0.0,0.0,-19470.0,0.0,64.5,-4624.0,-910.0,0.0,0.0,100088
0.0,0.2307,0.0,0.0,-9660.0,0.0,-265.0,-4436.0,-265.0,0.0,0.0,100089
0.0,0.05405,0.0,0.0,-18260.0,0.0,-174.0,-1701.0,-174.0,0.0,0.0,100093
0.0,0.0,0.0,0.0,-22930.0,0.0,645.0,-12620.0,-379.0,0.75,0.0,100094
0.0,0.0,0.0,0.0,-18690.0,0.0,0.0,-10260.0,0.0,0.0,0.0,100095
0.0,0.0,0.0,0.0,-24800.0,0.0,-2610.0,-5390.0,-2610.0,0.0,1.0,100096
0.0,0.0,0.0,0.0,-17520.0,0.0,-1372.0,-3500.0,-2400.0,0.0,0.0,100097
0.0,0.0,0.0,0.0,-17390.0,0.0,0.0,-7212.0,0.0,0.0,0.0,100098
0.0,0.04544,0.0,0.0,-23040.0,0.0,254.4,-9500.0,-651.0,0.2,0.0,100099
0.0532,0.1032,4538.298,40102.36,-15910.0,0.2128,-1238.0,-3134.0,-2616.0,0.2,0.0,100100
0.0,0.05798,32019.23,183857.19,-18140.0,10.14,0.0,-7420.0,0.0,0.0,0.0,100101
0.0,0.0,0.0,0.0,-14320.0,0.0,802.0,-6910.0,216.0,0.2,0.0,100102
0.0,0.3333,0.0,0.0,-21120.0,0.0,-1696.0,-6056.0,-1925.0,0.3333,0.0,100103
0.0,0.5293,0.0,0.0,-18560.0,0.0,-457.0,-6770.0,-457.0,0.0,0.0,100104
0.0,0.03705,0.0,0.0,-19800.0,0.0,-663.5,-4492.0,-1632.0,0.0,0.0,100105
0.0,0.0,0.0,0.0,-12780.0,0.0,-1288.0,-5144.0,-2276.0,0.6665,0.0,100108
0.0,0.0,0.0,0.0,-10744.0,0.0,218.0,-442.0,218.0,0.0,0.0,100110
0.0,0.03705,0.0,0.0,-10490.0,0.0,696.0,-4628.0,-1890.0,0.25,0.0,100111
0.0,0.05,0.0,0.0,-10200.0,0.0,15930.0,-4800.0,793.0,1.0,1.0,100112
0.0,0.2307,0.0,0.0,-15140.0,0.0,161.0,-9176.0,-1616.0,0.0,0.0,100113
0.0,0.4,0.0,0.0,-10740.0,0.0,-692.0,-7910.0,-770.0,0.5,0.0,100114
0.0,0.0,45000.0,46570.5,-15370.0,1.0,-2688.0,-3072.0,-2688.0,0.0,0.0,100115
0.2,0.1416,15012.777,178584.45,-14750.0,0.8,1214.0,-3390.0,-2616.0,0.1765,0.0,100116
0.0,0.2,0.0,0.0,-22460.0,0.0,0.0,-217.0,0.0,0.0,0.0,100118
0.0,0.0,0.0,0.0,-11144.0,0.0,-329.0,-4988.0,-2396.0,0.0,0.0,100119
0.0,0.0,0.0,0.0,-9650.0,0.0,398.0,-4330.0,310.0,0.5,0.0,100120
0.0,0.24,0.0,0.0,-16800.0,0.0,-60.0,-9390.0,-60.0,0.0,0.0,100121
0.0,0.0769,0.0,0.0,-10950.0,0.0,18910.0,-550.0,1641.0,1.0,0.0,100122
0.0,0.0,0.0,0.0,-23710.0,0.0,-1007.5,-3916.0,-2352.0,0.1666,0.0,100123
0.0,0.05,0.0,0.0,-24050.0,0.0,-326.5,-7040.0,-336.0,0.0,0.0,100124
0.0,0.1621,0.0,0.0,-21620.0,0.0,-197.5,-2376.0,-1180.0,0.0,0.0,100125
0.0,0.0,0.0,0.0,-12900.0,0.0,331.0,-2124.0,-1073.0,0.0,0.0,100126
0.0,0.2917,0.0,0.0,-21340.0,0.0,0.0,-10150.0,0.0,0.0,0.0,100127
0.0,0.0,0.0,0.0,-9416.0,0.0,6390.0,-4066.0,6390.0,0.0,0.0,100129
0.0,0.0,0.0,0.0,-10530.0,0.0,0.0,-387.0,0.0,1.0,1.0,100130
0.1666,0.01613,38250.0,239297.52,-13830.0,3.125,961.0,-7950.0,961.0,1.0,0.0,100131
0.0,0.0,0.0,0.0,-23650.0,0.0,9.0,-14664.0,9.0,0.0,0.0,100132
0.0,0.0833,0.0,0.0,-9210.0,0.0,0.0,-4068.0,0.0,0.0,0.0,100133
0.0,0.0,0.0,0.0,-10090.0,0.0,38.75,-9650.0,-1313.0,0.25,0.0,100134
0.0,0.0,0.0,0.0,-19820.0,0.0,493.0,-4730.0,493.0,0.0,0.0,100135
0.0,0.0909,0.0,0.0,-15950.0,0.0,1818.0,-1146.0,1818.0,0.0,0.0,100136
0.5,0.04877,42187.5,323646.4,-20290.0,1.0,0.0,-1990.0,0.0,0.0,0.0,100137
0.0,0.0,0.0,0.0,-14340.0,0.0,2578.0,-1104.0,-2298.0,0.5386,0.0,100138
0.84,0.1666,11394.0,192715.03,-13290.0,1.267,-29.0,-6684.0,-29.0,0.5,0.0,100139
0.0,0.0,0.0,0.0,-9224.0,0.0,0.0,-4068.0,0.0,0.0,0.0,100140
0.0,0.1578,0.0,0.0,-13380.0,0.0,415.0,-6868.0,-2270.0,0.25,0.0,100142
0.0632,0.02817,5069.6807,71369.234,-22880.0,0.2632,-741.5,-1481.0,-2264.0,0.25,0.0,100143
0.0,0.02272,0.0,0.0,-16750.0,0.0,0.0,-3080.0,0.0,0.0,0.0,100144
0.0,0.0,0.0,1614.4298,-16280.0,0.0,-266.2,-762.0,-2552.0,0.1428,0.0,100145
0.0,0.4138,0.0,0.0,-22960.0,0.0,923.0,-1730.0,743.0,0.0,0.0,100146
0.0,0.0741,0.0,0.0,-16140.0,0.0,-1868.0,-3440.0,-1868.0,0.0,0.0,100147
0.02942,0.1229,4149.2646,19448.223,-16340.0,0.4412,-482.8,-4184.0,-2504.0,0.375,0.0,100148
0.0,0.1428,0.0,0.0,-9200.0,0.0,74.5,-1642.0,-13.0,0.0,0.0,100149
0.0,0.1428,43537.5,227636.19,-16530.0,0.923,-1924.0,-4100.0,-1924.0,0.0,0.0,100151
0.0,0.0,0.0,0.0,-16080.0,0.0,-943.0,-7360.0,-2260.0,0.1666,0.0,100152
0.2466,0.11365,6571.233,121103.9,-18420.0,0.726,1189.0,-10824.0,-131.0,0.6665,0.0,100153
0.0,0.0,0.0,0.0,-12160.0,0.0,-839.0,-4056.0,-1182.0,0.0,0.0,100154
0.0,0.0,0.0,0.0,-11944.0,0.0,163.6,-5812.0,-435.0,0.3333,0.0,100155
0.0,0.258,0.0,0.0,-14230.0,0.0,-913.5,-2248.0,-2037.0,0.1428,0.0,100156
0.0,0.0,0.0,0.0,-16090.0,0.0,-460.2,-3174.0,-2382.0,0.0,0.0,100157
0.0,0.02777,0.0,0.0,-12350.0,0.0,-766.0,-1909.0,-766.0,0.0,0.0,100158
0.0,0.0,0.0,0.0,-14650.0,0.0,142.5,-7150.0,-999.0,0.0,0.0,100159
0.0,0.0,0.0,0.0,-16670.0,0.0,1564.0,-5240.0,1564.0,1.0,1.0,100160
0.0,0.0,0.0,0.0,-16216.0,0.0,-625.0,-9330.0,-2188.0,0.25,0.0,100161
0.0,0.242,0.0,0.0,-21060.0,0.0,-572.5,-5440.0,-2660.0,0.3635,0.0,100162
0.0,0.0,0.0,0.0,-19710.0,0.0,817.5,-8940.0,-2472.0,0.1428,0.0,100163
0.0,0.04166,0.0,0.0,-16100.0,0.0,-1697.0,-110.0,-2370.0,0.2,0.0,100164
0.0,0.0,0.0,0.0,-21970.0,0.0,-1550.0,-8890.0,-2120.0,0.0,0.0,100165
0.0,0.2727,0.0,0.0,-14360.0,0.0,-520.0,-2908.0,-1723.0,0.06665,0.0,100166
0.0,0.1212,0.0,0.0,-15130.0,0.0,-229.2,-4220.0,-738.0,0.3333,0.0,100167
0.0435,0.198,2690.2173,38063.54,-11630.0,0.174,153.2,-5430.0,-613.0,0.25,0.0,100173
0.0,0.0,0.0,0.0,-14600.0,0.0,2364.0,-8490.0,-2618.0,0.4443,0.0,100174
0.0,0.0,0.0,0.0,-16296.0,0.0,-742.5,-164.0,-1618.0,0.1818,0.0,100175
0.01053,0.006535,3126.3157,131640.95,-17680.0,0.179,-2332.0,-2630.0,-2332.0,0.0,0.0,100176
0.0,0.0,0.0,0.0,-14310.0,0.0,-378.0,-8400.0,-378.0,0.0,0.0,100177
0.0,0.0,0.0,0.0,-19280.0,0.0,-910.5,-7890.0,-2136.0,0.25,0.0,100178
0.0,0.375,0.0,0.0,-11380.0,0.0,-777.0,-180.0,-1338.0,0.0,0.0,100179
0.0,0.2778,0.0,0.0,-15580.0,0.0,457.5,-9520.0,-2628.0,0.4546,0.0,100180
0.0,0.0,0.0,0.0,-17540.0,0.0,651.5,-774.0,-1547.0,0.2,1.0,100181
0.0,0.2917,0.0,0.0,-13560.0,0.0,9410.0,-6424.0,-805.0,0.5713,0.0,100182
0.0,0.0,0.0,0.0,-24740.0,0.0,-774.0,-4048.0,-1766.0,0.0,0.0,100183
0.0,0.125,0.0,0.0,-20210.0,0.0,-1314.0,-3508.0,-2009.0,0.0,0.0,100185
0.0,0.2222,0.0,0.0,-21860.0,0.0,1259.0,-830.0,1259.0,0.0,0.0,100186
0.0,0.0,79907.14,236086.81,-15320.0,1.9,-890.0,-5370.0,-2604.0,0.375,0.0,100188
0.0,0.2106,0.0,0.0,-16800.0,0.0,0.0,-8184.0,0.0,0.0,0.0,100189
0.0,0.164,0.0,0.0,-13970.0,0.0,-43.8,-464.0,-2768.0,0.6,0.0,100190
0.0,0.0,0.0,0.0,-21820.0,0.0,-101.7,-8440.0,-641.0,0.6665,0.0,100191
0.0,0.0,0.0,0.0,-7988.0,0.0,27520.0,-2570.0,27520.0,1.0,1.0,100192
0.0,0.0,0.0,1845.8624,-17870.0,0.011765,533.0,-2294.0,-1901.0,0.2727,0.0,100193
0.0,0.1765,0.0,0.0,-12810.0,0.0,-305.5,-3262.0,-1300.0,0.1177,0.0,100194
0.0,0.0,0.0,0.0,-10890.0,0.0,-2232.0,-5332.0,-2232.0,0.5,0.0,100195
0.0,0.1333,0.0,0.0,-11570.0,0.0,-455.5,-1082.0,-2628.0,0.1666,0.0,100196
0.2856,0.12195,17860.715,324255.06,-12020.0,5.383,0.0,-682.0,0.0,0.0,0.0,100197
0.2279,0.008545,2534.81,26065.072,-13120.0,0.5825,-1255.0,-7236.0,-2496.0,0.1111,0.0,100198
0.0,0.4211,0.0,0.0,-20860.0,0.0,118.5,-8170.0,-2516.0,0.7,0.0,100199
0.0,0.0,0.0,0.0,-16900.0,0.0,-2088.0,-7520.0,-2088.0,0.0,0.0,100200
0.0,0.4119,0.0,0.0,-12140.0,0.0,3030.0,-6188.0,-2452.0,0.5,0.0,100201
0.0,0.0,0.0,0.0,-22990.0,0.0,-129.0,-9704.0,-829.0,0.2,0.0,100202
0.0,0.0,0.0,0.0,-25100.0,0.0,572.0,-4184.0,572.0,1.0,0.0,100203
0.0,0.0,0.0,0.0,-19520.0,0.0,234.5,-5076.0,-93.0,0.0,0.0,100204
0.0,0.5713,0.0,0.0,-18300.0,0.0,-611.5,-10536.0,-1033.0,0.3333,0.0,100205
0.0,0.07574,0.0,0.0,-12024.0,0.0,0.0,-3868.0,0.0,0.0,0.0,100206
0.0,0.0,0.0,0.0,-16510.0,0.0,641.0,-3628.0,-306.0,0.4,0.0,100207
0.0,0.0,0.0,0.0,-12650.0,0.0,-1722.0,-2108.0,-2009.0,0.0,0.0,100208
0.0,0.0,0.0,0.0,-15330.0,0.0,368.0,-782.0,368.0,1.0,1.0,100209
0.0,0.1333,0.0,0.0,-16480.0,0.0,-823.0,-1225.0,-2472.0,0.2856,0.0,100210
0.0625,0.2727,2109.375,78444.984,-14030.0,4.875,815.0,-544.0,-72.0,0.0,0.0,100211
0.0,0.5,0.0,0.0,-13870.0,0.0,-913.0,-632.0,-2252.0,0.3333,0.0,100213
0.0,0.05264,0.0,0.0,-10130.0,0.0,0.0,-1724.0,0.0,0.0,1.0,100214
0.0,0.0,0.0,0.0,-21700.0,0.0,4212.0,-9850.0,-1152.0,0.5713,0.0,100215
0.0,0.0,0.0,0.0,-19790.0,0.0,-2640.0,-9340.0,-2640.0,0.0,0.0,100216
0.0,0.0759,12150.0,193718.81,-13620.0,1.375,-616.5,-5452.0,-2030.0,0.0833,0.0,100217
0.846,0.0,45069.23,680653.7,-13210.0,4.848,7800.0,-7320.0,-465.0,0.5,0.0,100218
0.0,0.0,0.0,0.0,-11176.0,0.0,768.0,-64.0,768.0,1.0,0.0,100219
0.1549,0.0196,3492.2534,93871.09,-14824.0,0.4648,-1147.0,-1147.0,-2108.0,0.1428,0.0,100220
0.2727,0.1526,10000.0,61593.645,-23650.0,0.0909,-1527.0,-7124.0,-2340.0,0.0,0.0,100221
0.01053,0.03125,900.0,11628.116,-14090.0,0.0632,1678.0,-8130.0,-2338.0,0.4211,0.0,100224
0.0,0.3865,0.0,0.0,-14140.0,0.0,-1336.0,-1516.0,-2242.0,0.1818,0.0,100225
0.0,0.0,0.0,0.0,-13580.0,0.0,0.0,-350.0,0.0,0.0,0.0,100226
0.0,0.0,0.0,0.0,-10010.0,0.0,-118.0,-4628.0,-380.0,0.25,0.0,100227
0.04166,0.0504,731.25,20461.049,-13960.0,0.1459,2944.0,-5040.0,-1992.0,0.4,0.0,100228
0.0,0.4119,0.0,0.0,-17950.0,0.0,-657.0,-11810.0,-2038.0,0.0,0.0,100229
0.0,0.0,0.0,0.0,-19070.0,0.0,5816.0,-6788.0,-852.0,0.3333,0.0,100230
0.0,0.0,0.0,0.0,-17860.0,0.0,-1820.0,-2880.0,-1820.0,0.0,0.0,100231
0.0,0.02438,0.0,0.0,-18340.0,0.0,-1100.0,-9730.0,-2332.0,0.25,0.0,100233
0.0,0.0,0.0,0.0,-16600.0,0.0,307.5,-6096.0,-2228.0,0.0,0.0,100234
0.3333,0.0,16500.0,92796.39,-15890.0,1.0,10310.0,-4604.0,-413.0,0.3333,0.0,100235
0.0,0.0,0.0,0.0,-23180.0,0.0,0.0,-5212.0,0.0,0.0,0.0,100236
0.0,0.0,0.0,0.0,-13800.0,0.0,6830.0,-640.0,-472.0,0.3333,0.0,100237
0.0,0.04166,0.0,0.0,-12990.0,0.0,-1152.0,-2588.0,-2438.0,0.0,0.0,100238
0.0,0.0435,0.0,0.0,-20200.0,0.0,-1234.0,-6040.0,-2316.0,0.1666,0.0,100239
0.0,0.0,0.0,0.0,-11976.0,0.0,1098.0,-6004.0,-1977.0,0.5,0.0,100240
0.0,0.0,0.0,0.0,-20940.0,0.0,-190.0,-7396.0,-1052.0,0.0,0.0,100242
0.0,0.0,0.0,0.0,-9720.0,0.0,31020.0,-689.0,31020.0,1.0,0.0,100243
0.0,0.2654,0.0,0.0,-17100.0,0.0,388.0,-221.0,-590.0,0.0,0.0,100244
0.0,0.0,0.0,0.0,-12824.0,0.0,8.336,-6764.0,-2312.0,0.3333,1.0,100246
0.0,0.1915,0.0,0.0,-19920.0,0.0,-557.0,-7650.0,-2260.0,0.3125,0.0,100247
0.0,0.0,0.0,0.0,-22380.0,0.0,-467.8,-12310.0,-2007.0,0.0,0.0,100248
0.0,0.0,0.0,0.0,-15300.0,0.0,-86.0,-4700.0,-472.0,0.3333,0.0,100249
0.0,0.129,0.0,0.0,-11256.0,0.0,-337.0,-808.0,-337.0,0.0,0.0,100250
0.0,0.2,0.0,0.0,-19540.0,0.0,-567.0,-7092.0,-2428.0,0.4,0.0,100251
0.0,0.0,0.0,0.0,-17710.0,0.0,308.5,-5284.0,201.0,0.0,0.0,100252
0.0,0.0,0.0,0.0,-21650.0,0.0,2516.0,-381.0,-1459.0,0.4443,0.0,100254
0.0,0.0,0.0,0.0,-15380.0,0.0,-486.8,-34.0,-672.0,0.0,0.0,100255
0.0,0.4412,0.0,0.0,-23090.0,0.0,-540.0,-7064.0,-2017.0,0.2,0.0,100257
0.0,0.1538,0.0,0.0,-16270.0,0.0,0.0,-939.0,0.0,0.0,0.0,100258
0.0,0.2295,10607.143,36439.336,-20670.0,5.11,461.5,-3316.0,122.0,0.0,0.0,100259
0.2169,0.1364,2442.0732,10497.718,-10040.0,0.0964,8610.0,-4744.0,-919.0,0.3333,0.0,100260
0.0,0.2094,0.0,0.0,-14980.0,0.0,-553.5,-7480.0,-628.0,0.0,0.0,100261
0.0,0.1,0.0,0.0,-13640.0,0.0,-670.5,-3522.0,-1821.0,0.0,0.0,100262
0.0,0.0,0.0,0.0,-23460.0,0.0,-602.0,-2268.0,-1305.0,0.25,0.0,100263
0.0,0.4,0.0,0.0,-23040.0,0.0,-942.5,-2017.0,-1990.0,0.3333,0.0,100264
0.0,0.0,0.0,0.0,-8300.0,0.0,273.0,-1219.0,273.0,0.0,0.0,100265
0.282,0.2373,11203.846,191103.3,-18820.0,0.359,-367.2,-9760.0,-1802.0,0.0,0.0,100266
0.0,0.0458,3181.818,3579.729,-13690.0,0.1089,-294.2,-7730.0,-341.0,0.0,0.0,100267
0.0,0.0,0.0,0.0,-10570.0,0.0,60.16,-643.0,-529.0,0.1666,0.0,100268
0.0,0.0,0.0,0.0,-11180.0,0.0,-132.6,-4776.0,-766.0,0.0,0.0,100269
0.0,0.0,0.0,0.0,-21500.0,0.0,-1133.0,-14504.0,-2106.0,0.2,0.0,100270
0.0,0.2307,0.0,0.0,-9140.0,0.0,2852.0,-1219.0,-301.0,0.3333,0.0,100272
0.1414,0.06146,6006.522,70582.28,-23120.0,0.5,0.0,-817.0,0.0,0.0,1.0,100273
0.0,0.0,0.0,0.0,-15620.0,0.0,1022.0,-8060.0,1022.0,0.0,0.0,100274
0.0,0.0,0.0,0.0,-23650.0,0.0,-1780.0,-11380.0,-2400.0,0.3333,0.0,100275
0.0,0.25,0.0,0.0,-12250.0,0.0,-403.8,-1002.0,-2076.0,0.0,0.0,100276
0.0,0.0,0.0,0.0,-21810.0,0.0,0.0,-12536.0,0.0,0.0,0.0,100277
0.0,0.05884,0.0,0.0,-23950.0,0.0,1000.0,-6936.0,-231.0,0.6665,0.0,100279
0.0,0.0,0.0,0.0,-17950.0,0.0,-340.0,-7868.0,-1151.0,0.25,0.0,100281
0.0,0.0,0.0,0.0,-9160.0,0.0,0.0,-2926.0,0.0,0.0,1.0,100282
0.0,0.0,0.0,0.0,-12584.0,0.0,-1380.0,-6120.0,-2564.0,0.0,0.0,100283
0.0,0.05554,0.0,9632.536,-14450.0,0.8,-1051.0,-5172.0,-2668.0,0.0,0.0,100284
0.0,0.2632,0.0,0.0,-10750.0,0.0,-50.5,-765.0,-646.0,0.0,0.0,100285
0.0,0.0,0.0,0.0,-17840.0,0.0,-1644.0,-3596.0,-2356.0,0.25,1.0,100286
0.0,0.0,0.0,0.0,-24900.0,0.0,0.0,-2120.0,0.0,0.0,0.0,100287
0.0,0.0,0.0,0.0,-9900.0,0.0,0.0,-5628.0,0.0,0.0,0.0,100288
0.0,0.02777,0.0,0.0,-14810.0,0.0,-667.0,-1761.0,-1503.0,0.5,0.0,100289
0.0435,0.138,12619.565,117390.836,-14730.0,4.22,-624.5,-3458.0,-2248.0,0.353,0.0,100290
